(u737, p6):(u2, p6, 0)
(u685, p117):(u29, p117, 220)
(u835, p117):(u29, p117, 221)
(u29, p116):(u29, p115, 222)
(u1105, p116):(u29, p115, 223)
(u1105, p115):(u29, p115, 224)
(u835, p116):(u29, p115, 225)
(u835, p115):(u29, p115, 226)
(u685, p116):(u29, p115, 227)
(u685, p115):(u29, p115, 228)
(u678, p116):(u29, p115, 229)
(u678, p115):(u29, p115, 230)
(u1105, p114):(u29, p114, 231)
(u835, p114):(u29, p114, 232)
(u685, p114):(u29, p114, 233)
(u678, p114):(u29, p114, 234)
(u381, p120):(u30, p120, 235)
(u426, p120):(u30, p120, 236)
(u534, p120):(u30, p120, 237)
(u495, p120):(u30, p120, 238)
(u456, p120):(u30, p120, 239)
(u1034, p120):(u30, p120, 240)
(u512, p120):(u30, p120, 241)
(u183, p120):(u30, p120, 242)
(u1034, p119):(u30, p119, 243)
(u512, p119):(u30, p119, 244)
(u183, p119):(u30, p119, 245)
(u381, p119):(u30, p119, 246)
(u426, p119):(u30, p119, 247)
(u534, p119):(u30, p119, 248)
(u495, p119):(u30, p119, 249)
(u456, p119):(u30, p119, 250)
(u495, p118):(u30, p118, 251)
(u456, p118):(u30, p118, 252)
(u381, p118):(u30, p118, 253)
(u426, p118):(u30, p118, 254)
(u1034, p118):(u30, p118, 255)
(u512, p118):(u30, p118, 256)
(u183, p118):(u30, p118, 257)
(u534, p118):(u30, p118, 258)
(u880, p121):(u31, p121, 259)
(u356, p121):(u31, p121, 260)
(u570, p121):(u31, p121, 261)
(u204, p121):(u31, p121, 262)
(u681, p121):(u31, p121, 263)
(u1039, p121):(u31, p121, 264)
(u535, p121):(u31, p121, 265)
(u385, p121):(u31, p121, 266)
(u315, p121):(u31, p121, 267)
(u1139, p121):(u31, p121, 268)
(u335, p121):(u31, p121, 269)
(u583, p121):(u31, p121, 270)
(u385, p81):(u31, p81, 271)
(u315, p81):(u31, p81, 272)
(u1139, p81):(u31, p81, 273)
(u335, p81):(u31, p81, 274)
(u583, p81):(u31, p81, 275)
(u880, p81):(u31, p81, 276)
(u356, p81):(u31, p81, 277)
(u570, p81):(u31, p81, 278)
(u204, p81):(u31, p81, 279)
(u681, p81):(u31, p81, 280)
(u1039, p81):(u31, p81, 281)
(u535, p81):(u31, p81, 282)
(u32, p54):(u32, p126, 283)
(u32, p104):(u32, p126, 284)
(u32, p43):(u32, p126, 285)
(u32, p46):(u32, p126, 286)
(u32, p47):(u32, p129, 287)
(u32, p45):(u32, p129, 288)
(u32, p13):(u32, p10, 289)
(u135, p13):(u34, p13, 290)
(u661, p13):(u34, p13, 291)
(u1054, p13):(u34, p13, 292)
(u505, p13):(u34, p13, 293)
(u135, p50):(u34, p50, 294)
(u661, p50):(u34, p50, 295)
(u505, p50):(u34, p50, 296)
(u1054, p50):(u34, p50, 297)
(u505, p133):(u34, p133, 298)
(u34, p50):(u34, p133, 299)
(u135, p133):(u34, p133, 300)
(u661, p133):(u34, p133, 301)
(u1054, p133):(u34, p133, 302)
(u271, p136):(u37, p136, 303)
(u149, p137):(u37, p136, 304)
(u574, p137):(u37, p136, 305)
(u776, p136):(u37, p136, 306)
(u1161, p136):(u37, p136, 307)
(u89, p136):(u37, p136, 308)
(u168, p136):(u37, p136, 309)
(u1161, p137):(u37, p136, 310)
(u271, p137):(u37, p136, 311)
(u37, p137):(u37, p136, 312)
(u149, p136):(u37, p136, 313)
(u574, p136):(u37, p136, 314)
(u89, p137):(u37, p136, 315)
(u776, p137):(u37, p136, 316)
(u168, p137):(u37, p136, 317)
(u89, p138):(u37, p138, 318)
(u776, p138):(u37, p138, 319)
(u168, p138):(u37, p138, 320)
(u149, p138):(u37, p138, 321)
(u574, p138):(u37, p138, 322)
(u1161, p138):(u37, p138, 323)
(u271, p138):(u37, p138, 324)
(u38, p116):(u38, p115, 325)
(u39, p147):(u39, p148, 326)
(u39, p71):(u39, p148, 327)
(u39, p145):(u39, p148, 328)
(u39, p143):(u39, p148, 329)
(u39, p68):(u39, p148, 330)
(u39, p142):(u39, p148, 331)
(u39, p150):(u39, p148, 332)
(u39, p146):(u39, p148, 333)
(u238, p153):(u41, p153, 334)
(u106, p153):(u41, p153, 335)
(u716, p153):(u41, p153, 336)
(u716, p19):(u41, p19, 337)
(u238, p19):(u41, p19, 338)
(u106, p19):(u41, p19, 339)
(u1133, p157):(u43, p157, 340)
(u1156, p157):(u43, p157, 341)
(u735, p157):(u43, p157, 342)
(u561, p157):(u43, p157, 343)
(u561, p158):(u43, p158, 344)
(u1133, p158):(u43, p158, 345)
(u735, p158):(u43, p158, 346)
(u1156, p158):(u43, p158, 347)
(u43, p157):(u43, p158, 348)
(u561, p159):(u43, p159, 349)
(u1133, p159):(u43, p159, 350)
(u735, p159):(u43, p159, 351)
(u1156, p159):(u43, p159, 352)
(u45, p54):(u45, p126, 353)
(u45, p43):(u45, p126, 354)
(u45, p104):(u45, p126, 355)
(u45, p46):(u45, p126, 356)
(u45, p172):(u45, p182, 357)
(u45, p51):(u45, p182, 358)
(u45, p47):(u45, p182, 359)
(u45, p166):(u45, p181, 360)
(u45, p178):(u45, p169, 361)
(u45, p45):(u45, p129, 362)
(u45, p163):(u45, p164, 363)
(u45, p108):(u45, p171, 364)
(u45, p42):(u45, p171, 365)
(u45, p168):(u45, p180, 366)
(u184, p185):(u47, p185, 367)
(u880, p185):(u47, p185, 368)
(u76, p185):(u47, p185, 369)
(u917, p185):(u47, p185, 370)
(u1063, p185):(u47, p185, 371)
(u636, p185):(u47, p185, 372)
(u1169, p185):(u47, p185, 373)
(u184, p121):(u47, p121, 374)
(u76, p121):(u47, p121, 375)
(u917, p121):(u47, p121, 376)
(u1063, p121):(u47, p121, 377)
(u636, p121):(u47, p121, 378)
(u1169, p121):(u47, p121, 379)
(u1008, p187):(u48, p187, 380)
(u1008, p186):(u48, p187, 381)
(u429, p187):(u48, p187, 382)
(u901, p186):(u48, p187, 383)
(u48, p186):(u48, p187, 384)
(u901, p187):(u48, p187, 385)
(u429, p186):(u48, p187, 386)
(u48, p187):(-1, -1, 387)
(u49, p190):(u49, p189, 388)
(u122, p93):(u51, p93, 389)
(u1149, p93):(u51, p93, 390)
(u122, p1):(u51, p1, 391)
(u1149, p1):(u51, p1, 392)
(u468, p193):(u52, p193, 393)
(u142, p194):(u52, p193, 394)
(u836, p193):(u52, p193, 395)
(u478, p194):(u52, p193, 396)
(u468, p194):(u52, p193, 397)
(u142, p193):(u52, p193, 398)
(u94, p194):(u52, p193, 399)
(u52, p194):(u52, p193, 400)
(u836, p194):(u52, p193, 401)
(u478, p193):(u52, p193, 402)
(u94, p193):(u52, p193, 403)
(u52, p193):(-1, -1, 404)
(u494, p31):(u53, p31, 405)
(u494, p35):(u53, p35, 406)
(u494, p195):(u53, p195, 407)
(u444, p198):(u55, p198, 408)
(u1175, p198):(u55, p198, 409)
(u779, p198):(u55, p198, 410)
(u514, p198):(u55, p198, 411)
(u513, p198):(u55, p198, 412)
(u1180, p198):(u55, p198, 413)
(u351, p198):(u55, p198, 414)
(u1146, p198):(u55, p198, 415)
(u916, p198):(u55, p198, 416)
(u544, p198):(u55, p198, 417)
(u942, p198):(u55, p198, 418)
(u839, p198):(u55, p198, 419)
(u1079, p198):(u55, p198, 420)
(u1049, p198):(u55, p198, 421)
(u55, p198):(-1, -1, 422)
(u975, p80):(u56, p80, 423)
(u18, p80):(u56, p80, 424)
(u321, p80):(u56, p80, 425)
(u1112, p80):(u56, p80, 426)
(u974, p80):(u56, p80, 427)
(u880, p80):(u56, p80, 428)
(u18, p81):(u56, p81, 429)
(u974, p81):(u56, p81, 430)
(u975, p81):(u56, p81, 431)
(u321, p81):(u56, p81, 432)
(u1112, p81):(u56, p81, 433)
(u751, p200):(u57, p200, 434)
(u548, p200):(u57, p200, 435)
(u751, p199):(u57, p199, 436)
(u57, p200):(u57, p199, 437)
(u548, p199):(u57, p199, 438)
(u57, p199):(-1, -1, 439)
(u545, p31):(u58, p31, 440)
(u744, p31):(u58, p31, 441)
(u269, p31):(u58, p31, 442)
(u220, p201):(u58, p201, 443)
(u545, p201):(u58, p201, 444)
(u269, p201):(u58, p201, 445)
(u526, p201):(u58, p201, 446)
(u988, p201):(u58, p201, 447)
(u744, p201):(u58, p201, 448)
(u1157, p206):(u60, p206, 449)
(u60, p205):(u60, p206, 450)
(u1044, p205):(u60, p206, 451)
(u1044, p206):(u60, p206, 452)
(u1157, p205):(u60, p206, 453)
(u1157, p207):(u60, p207, 454)
(u1044, p207):(u60, p207, 455)
(u1157, p204):(u60, p204, 456)
(u1044, p204):(u60, p204, 457)
(u62, p210):(u62, p211, 458)
(u62, p42):(u62, p211, 459)
(u62, p43):(u62, p52, 460)
(u62, p212):(u62, p220, 461)
(u62, p51):(u62, p53, 462)
(u62, p49):(u62, p53, 463)
(u62, p54):(u62, p216, 464)
(u62, p13):(u62, p219, 465)
(u62, p47):(u62, p209, 466)
(u62, p46):(u62, p209, 467)
(u62, p110):(u62, p209, 468)
(u62, p45):(u62, p209, 469)
(u62, p107):(u62, p209, 470)
(u62, p108):(u62, p209, 471)
(u62, p52):(u62, p209, 472)
(u62, p109):(u62, p209, 473)
(u62, p215):(u62, p209, 474)
(u62, p104):(u62, p217, 475)
(u62, p166):(u62, p217, 476)
(u63, p223):(u63, p222, 477)
(u63, p222):(u63, p225, 478)
(u65, p231):(u65, p235, 479)
(u65, p166):(u65, p236, 480)
(u65, p229):(u65, p236, 481)
(u65, p79):(u65, p234, 482)
(u65, p13):(u65, p234, 483)
(u65, p234):(u65, p232, 484)
(u65, p235):(u65, p232, 485)
(u65, p233):(u65, p228, 486)
(u65, p221):(u65, p228, 487)
(u65, p17):(u65, p230, 488)
(u65, p232):(u65, p230, 489)
(u1133, p237):(u66, p237, 490)
(u299, p237):(u66, p237, 491)
(u1091, p237):(u66, p237, 492)
(u247, p237):(u66, p237, 493)
(u579, p237):(u66, p237, 494)
(u1003, p237):(u66, p237, 495)
(u294, p237):(u66, p237, 496)
(u825, p237):(u66, p237, 497)
(u784, p237):(u66, p237, 498)
(u977, p237):(u66, p237, 499)
(u899, p237):(u66, p237, 500)
(u294, p238):(u66, p238, 501)
(u1003, p238):(u66, p238, 502)
(u825, p238):(u66, p238, 503)
(u784, p238):(u66, p238, 504)
(u977, p238):(u66, p238, 505)
(u579, p238):(u66, p238, 506)
(u899, p238):(u66, p238, 507)
(u299, p238):(u66, p238, 508)
(u1133, p238):(u66, p238, 509)
(u1091, p238):(u66, p238, 510)
(u247, p238):(u66, p238, 511)
(u67, p98):(u67, p239, 512)
(u67, p97):(u67, p239, 513)
(u67, p240):(u67, p239, 514)
(u68, p243):(u68, p244, 515)
(u470, p243):(u68, p244, 516)
(u470, p244):(u68, p244, 517)
(u286, p243):(u68, p244, 518)
(u286, p244):(u68, p244, 519)
(u68, p244):(-1, -1, 520)
(u333, p245):(u69, p246, 521)
(u1071, p245):(u69, p246, 522)
(u513, p247):(u69, p246, 523)
(u297, p246):(u69, p246, 524)
(u1124, p247):(u69, p246, 525)
(u310, p246):(u69, p246, 526)
(u513, p245):(u69, p246, 527)
(u706, p246):(u69, p246, 528)
(u1124, p245):(u69, p246, 529)
(u297, p247):(u69, p246, 530)
(u310, p247):(u69, p246, 531)
(u706, p247):(u69, p246, 532)
(u310, p245):(u69, p246, 533)
(u672, p246):(u69, p246, 534)
(u297, p245):(u69, p246, 535)
(u533, p246):(u69, p246, 536)
(u69, p247):(u69, p246, 537)
(u706, p245):(u69, p246, 538)
(u69, p245):(u69, p246, 539)
(u1030, p246):(u69, p246, 540)
(u333, p246):(u69, p246, 541)
(u1071, p246):(u69, p246, 542)
(u672, p247):(u69, p246, 543)
(u672, p245):(u69, p246, 544)
(u533, p247):(u69, p246, 545)
(u1124, p246):(u69, p246, 546)
(u513, p246):(u69, p246, 547)
(u533, p245):(u69, p246, 548)
(u1030, p247):(u69, p246, 549)
(u333, p247):(u69, p246, 550)
(u1071, p247):(u69, p246, 551)
(u1030, p245):(u69, p246, 552)
(u69, p246):(-1, -1, 553)
(u1026, p248):(u70, p248, 554)
(u1026, p249):(u70, p249, 555)
(u72, p178):(u72, p169, 556)
(u72, p83):(u72, p82, 557)
(u73, p166):(u73, p181, 558)
(u1025, p255):(u74, p255, 559)
(u1025, p254):(u74, p254, 560)
(u388, p256):(u76, p256, 561)
(u129, p256):(u76, p256, 562)
(u1045, p256):(u76, p256, 563)
(u1177, p256):(u76, p256, 564)
(u885, p256):(u76, p256, 565)
(u556, p256):(u76, p256, 566)
(u991, p256):(u76, p256, 567)
(u182, p256):(u76, p256, 568)
(u76, p256):(-1, -1, 569)
(u1054, p260):(u78, p259, 570)
(u1054, p259):(u78, p259, 571)
(u78, p260):(u78, p259, 572)
(u113, p260):(u78, p259, 573)
(u113, p259):(u78, p259, 574)
(u947, p260):(u78, p259, 575)
(u947, p259):(u78, p259, 576)
(u736, p260):(u78, p259, 577)
(u736, p259):(u78, p259, 578)
(u78, p259):(-1, -1, 579)
(u79, p261):(u79, p262, 580)
(u1178, p262):(u79, p262, 581)
(u493, p262):(u79, p262, 582)
(u395, p262):(u79, p262, 583)
(u1178, p261):(u79, p262, 584)
(u395, p261):(u79, p262, 585)
(u493, p261):(u79, p262, 586)
(u984, p262):(u79, p262, 587)
(u364, p262):(u79, p262, 588)
(u984, p261):(u79, p262, 589)
(u364, p261):(u79, p262, 590)
(u79, p262):(-1, -1, 591)
(u480, p83):(u81, p82, 592)
(u618, p83):(u81, p82, 593)
(u267, p82):(u81, p82, 594)
(u1150, p83):(u81, p82, 595)
(u618, p82):(u81, p82, 596)
(u312, p82):(u81, p82, 597)
(u81, p83):(u81, p82, 598)
(u267, p83):(u81, p82, 599)
(u19, p82):(u81, p82, 600)
(u1150, p82):(u81, p82, 601)
(u72, p82):(u81, p82, 602)
(u312, p83):(u81, p82, 603)
(u480, p82):(u81, p82, 604)
(u81, p82):(-1, -1, 605)
(u83, p270):(u83, p273, 606)
(u129, p183):(u84, p183, 607)
(u294, p183):(u84, p183, 608)
(u853, p183):(u84, p183, 609)
(u980, p183):(u84, p183, 610)
(u129, p238):(u84, p238, 611)
(u853, p238):(u84, p238, 612)
(u980, p238):(u84, p238, 613)
(u948, p275):(u85, p275, 614)
(u948, p156):(u85, p156, 615)
(u948, p274):(u85, p274, 616)
(u1126, p277):(u86, p277, 617)
(u658, p277):(u86, p277, 618)
(u1002, p277):(u86, p277, 619)
(u290, p277):(u86, p277, 620)
(u582, p277):(u86, p277, 621)
(u720, p277):(u86, p277, 622)
(u86, p277):(u86, p276, 623)
(u720, p276):(u86, p276, 624)
(u1126, p276):(u86, p276, 625)
(u290, p276):(u86, p276, 626)
(u1002, p276):(u86, p276, 627)
(u582, p276):(u86, p276, 628)
(u658, p276):(u86, p276, 629)
(u86, p276):(-1, -1, 630)
(u90, p281):(u90, p282, 631)
(u30, p120):(u92, p120, 632)
(u539, p120):(u92, p120, 633)
(u590, p120):(u92, p120, 634)
(u957, p120):(u92, p120, 635)
(u209, p120):(u92, p120, 636)
(u696, p120):(u92, p120, 637)
(u766, p120):(u92, p120, 638)
(u614, p120):(u92, p120, 639)
(u827, p120):(u92, p120, 640)
(u377, p120):(u92, p120, 641)
(u328, p120):(u92, p120, 642)
(u122, p120):(u92, p120, 643)
(u888, p120):(u92, p120, 644)
(u1187, p120):(u92, p120, 645)
(u614, p119):(u92, p119, 646)
(u827, p119):(u92, p119, 647)
(u377, p119):(u92, p119, 648)
(u328, p119):(u92, p119, 649)
(u122, p119):(u92, p119, 650)
(u888, p119):(u92, p119, 651)
(u1187, p119):(u92, p119, 652)
(u30, p119):(u92, p119, 653)
(u590, p119):(u92, p119, 654)
(u957, p119):(u92, p119, 655)
(u539, p119):(u92, p119, 656)
(u696, p119):(u92, p119, 657)
(u209, p119):(u92, p119, 658)
(u766, p119):(u92, p119, 659)
(u841, p285):(u93, p285, 660)
(u841, p249):(u93, p249, 661)
(u95, p287):(u95, p286, 662)
(u1106, p102):(u97, p102, 663)
(u1057, p102):(u97, p102, 664)
(u125, p102):(u97, p102, 665)
(u1083, p102):(u97, p102, 666)
(u150, p102):(u97, p102, 667)
(u150, p50):(u97, p50, 668)
(u1106, p50):(u97, p50, 669)
(u125, p50):(u97, p50, 670)
(u1057, p50):(u97, p50, 671)
(u1083, p50):(u97, p50, 672)
(u98, p297):(u98, p293, 673)
(u98, p298):(u98, p293, 674)
(u98, p13):(u98, p293, 675)
(u98, p166):(u98, p181, 676)
(u98, p104):(u98, p295, 677)
(u98, p212):(u98, p220, 678)
(u98, p217):(u98, p291, 679)
(u98, p111):(u98, p291, 680)
(u98, p165):(u98, p291, 681)
(u98, p293):(u98, p291, 682)
(u98, p296):(u98, p291, 683)
(u98, p175):(u98, p291, 684)
(u98, p181):(u98, p291, 685)
(u98, p23):(u98, p291, 686)
(u98, p41):(u98, p291, 687)
(u98, p218):(u98, p291, 688)
(u99, p147):(u99, p302, 689)
(u1091, p203):(u101, p203, 690)
(u265, p203):(u101, p203, 691)
(u1091, p202):(u101, p202, 692)
(u265, p202):(u101, p202, 693)
(u1091, p152):(u101, p152, 694)
(u265, p152):(u101, p152, 695)
(u193, p251):(u102, p251, 696)
(u193, p304):(u102, p304, 697)
(u700, p306):(u103, p306, 698)
(u700, p307):(u103, p306, 699)
(u937, p306):(u103, p306, 700)
(u937, p307):(u103, p306, 701)
(u103, p307):(u103, p306, 702)
(u1117, p306):(u103, p306, 703)
(u890, p307):(u103, p306, 704)
(u1117, p307):(u103, p306, 705)
(u890, p306):(u103, p306, 706)
(u357, p306):(u103, p306, 707)
(u357, p307):(u103, p306, 708)
(u357, p305):(u103, p305, 709)
(u700, p305):(u103, p305, 710)
(u937, p305):(u103, p305, 711)
(u890, p305):(u103, p305, 712)
(u1117, p305):(u103, p305, 713)
(u875, p309):(u104, p309, 714)
(u647, p308):(u104, p309, 715)
(u837, p309):(u104, p309, 716)
(u846, p309):(u104, p309, 717)
(u823, p309):(u104, p309, 718)
(u837, p308):(u104, p309, 719)
(u104, p308):(u104, p309, 720)
(u875, p308):(u104, p309, 721)
(u823, p308):(u104, p309, 722)
(u846, p308):(u104, p309, 723)
(u647, p309):(u104, p309, 724)
(u1031, p309):(u104, p309, 725)
(u1144, p309):(u104, p309, 726)
(u1144, p308):(u104, p309, 727)
(u1031, p308):(u104, p309, 728)
(u104, p309):(-1, -1, 729)
(u708, p172):(u105, p172, 730)
(u1155, p172):(u105, p172, 731)
(u708, p311):(u105, p311, 732)
(u1155, p311):(u105, p311, 733)
(u708, p147):(u105, p147, 734)
(u1155, p147):(u105, p147, 735)
(u708, p310):(u105, p310, 736)
(u1155, p310):(u105, p310, 737)
(u294, p242):(u107, p242, 738)
(u108, p174):(u108, p313, 739)
(u779, p315):(u109, p316, 740)
(u854, p316):(u109, p316, 741)
(u779, p316):(u109, p316, 742)
(u109, p315):(u109, p316, 743)
(u854, p315):(u109, p316, 744)
(u109, p316):(-1, -1, 745)
(u770, p98):(u111, p98, 746)
(u525, p98):(u111, p98, 747)
(u196, p98):(u111, p98, 748)
(u440, p98):(u111, p98, 749)
(u1120, p98):(u111, p98, 750)
(u24, p98):(u111, p98, 751)
(u196, p81):(u111, p81, 752)
(u440, p81):(u111, p81, 753)
(u1120, p81):(u111, p81, 754)
(u525, p81):(u111, p81, 755)
(u196, p33):(u111, p33, 756)
(u24, p33):(u111, p33, 757)
(u440, p33):(u111, p33, 758)
(u770, p33):(u111, p33, 759)
(u525, p33):(u111, p33, 760)
(u169, p135):(u112, p135, 761)
(u428, p135):(u112, p135, 762)
(u131, p135):(u112, p135, 763)
(u711, p135):(u112, p135, 764)
(u255, p135):(u112, p135, 765)
(u539, p135):(u112, p135, 766)
(u707, p135):(u112, p135, 767)
(u759, p135):(u112, p135, 768)
(u629, p135):(u112, p135, 769)
